workload	ideal	start_m
CF	0.999	1.004
BC	0.998	0.994
PageRank-D	0.999	0.988
BFS-CC	1.000	0.989
BFS	0.999	0.986
Radii	0.995	0.984
Triangle	0.998	0.979
Components	0.989	0.974
Comp-SC	0.989	0.971
PageRank	0.989	0.979
BFS-BV	0.997	0.985
BellmanF	1.000	0.983
MIS	0.999	0.999
0	0	0
fotonik3D	1.000	0.990
mcf	0.999	0.907
gcc	1.000	1.000
omnetpp	1.000	0.991
bwaves	1.000	0.998
roms	1.000	0.998
cactuBSSN	0.995	0.995
wrf	1.000	0.990
pop2	0.999	0.989
xalancbmk	1.000	0.997
0	0	0
canneal	0.999	0.992
fluidanimate	1.000	1.001
raytrace	1.000	1.000
facesim	0.999	0.992
streamc	0.995	0.995
0	0	0
LIGRA	0.996	0.986
SPEC	0.999	0.985
PARSEC	0.999	0.996
ALL	0.998	0.987
