SUITE	Config	Cache	ideal	start_d
ALL	T=256	BR1	0.998	0.989
ALL	T=64	BR1	0.9871	0.978
0	0	0	0	0
ALL	T=256	BR2	0.993	0.984
ALL	T=64	BR2	0.964	0.955
0	0	0	0	0
ALL	T=256	BR4	0.977	0.967
ALL	T=64	BR4	0.907	0.896
