workload	ideal	start_s	start_d
CF	0.999	0.997	0.999
BC	0.998	0.979	0.995
PageRank-D	0.999	0.923	0.989
BFS-CC	1.000	0.938	0.991
BFS	0.999	0.895	0.990
Radii	0.995	0.881	0.985
Triangle	0.998	0.853	0.981
Components	0.989	0.854	0.973
Comp-SC	0.989	0.834	0.972
PageRank	0.989	0.907	0.979
BFS-BV	0.997	0.908	0.985
BellmanF	1.000	1.011	0.982
MIS	0.999	0.943	0.998
0	0	0	0
fotonik3D	1.000	0.995	0.990
mcf	0.999	0.883	0.935
gcc	1.000	1.000	1.000
omnetpp	1.000	0.945	0.995
bwaves	1.000	0.992	0.998
roms	1.000	0.994	0.998
cactuBSSN	0.995	0.976	0.994
wrf	1.000	0.928	0.990
pop2	0.999	0.919	0.989
xalancbmk	1.000	0.985	0.997
0	0	0	0
canneal	0.999	0.941	0.993
fluidanimate	1.000	1.005	1.001
raytrace	1.000	0.998	0.997
facesim	0.999	0.958	0.992
streamc	0.995	0.989	0.995
0	0	0	0
LIGRA	0.996	0.916	0.986
SPEC	0.999	0.961	0.988
PARSEC	0.999	0.978	0.996
ALL	0.998	0.943	0.989
