SUITE	Config	Threshold	ideal	start_d
ALL START-D T=16 0.9261 0.9173
ALL START-D T=64 0.9871 0.9782
ALL START-D T=256 0.9978 0.9886
ALL START-M T=1K 0.9994 0.9905
ALL START-M T=4K 0.9997 0.9905
