workload start_d
CF	0.3118
BC	0.1193
PR-Delta	0.1053
BFSCC	0.1312
BFS	0.116
Radii	0.0711
Triangle	0.0705
Components	0.0642
Comp-SC	0.064
PageRank	0.0811
BFS-BV	0.0638
BellmanFord	0.0627
MIS	0.0626
0.0	0.0
fotonik3d	0.4998
mcf	0.4997
gcc	0.0627
omnetpp	0.1075
bwaves	0.0681
roms	0.0625
cactuBSSN	0.073
wrf	0.0616
pop2	0.0604
xalancbmk	0.057
0.0	0.0
canneal	0.0829
fluida	0.063
raytrace	0.0624
facesim	0.0588
streamc	0.0424
0.0	0.0
ALL	0.1138
