workload ideal start_s start_d
CF	0.9991	0.9971	0.9988
BC	0.9977	0.979	0.9949
PR-Delta	0.999	0.9232	0.9886
BFSCC	0.9995	0.9383	0.991
BFS	0.9993	0.895	0.9903
Radii	0.9955	0.8813	0.9848
Triangle	0.9983	0.8529	0.9814
Components	0.9892	0.8539	0.9734
Comp-SC	0.9893	0.8339	0.972
PageRank	0.9888	0.9066	0.9792
BFS-BV	0.997	0.9077	0.9845
BellmanFord	1.0	1.0115	0.9817
MIS	0.9995	0.9431	0.9985
0.0	0.0	0.0	0.0
fotonik3d	1.0	0.9947	0.9902
mcf	0.9985	0.8833	0.9347
gcc	1.0	0.9998	1.0
omnetpp	0.9998	0.9446	0.9946
bwaves	1.0003	0.992	0.9976
roms	0.9996	0.9938	0.9978
cactuBSSN	0.9951	0.9763	0.9944
wrf	1.0004	0.9285	0.9902
pop2	0.9994	0.9192	0.9887
xalancbmk	0.9995	0.9849	0.9971
0.0	0.0	0.0	0.0
canneal	0.9994	0.9413	0.9934
fluida	0.9999	1.0047	1.0008
raytrace	1.0003	0.9977	0.9969
facesim	0.9994	0.9582	0.9922
streamc	0.9951	0.9895	0.9946
0.0	0.0	0.0	0.0
LIGRA	0.9963	0.9156	0.9861
SPEC	0.9993	0.9609	0.9884
PARSEC	0.9988	0.978	0.9956
ALL	0.9978	0.9426	0.9886
