SUITE   Config  Cache   ideal   start_d
ALL T=256 BR1 0.9978 0.9886
ALL T=64 BR1 0.9871 0.9782
0       0       0       0       0
ALL T=256 BR2 0.9933 0.9837
ALL T=64 BR2 0.9644 0.9551
0       0       0       0       0
ALL T=256 BR4 0.9772 0.9672
ALL T=64 BR4 0.9073 0.8961
