SUITE	Config	Cache	ideal	start_d
ALL T=256 1.5MB 0.9976 0.9882
ALL T=64 1.5MB 0.9856 0.977
0	0	0	0	0
ALL T=256 2MB 0.9978 0.9886
ALL T=64 2MB 0.9871 0.9782
0	0	0	0	0
ALL T=256 3MB 0.9979 0.9871
ALL T=64 3MB 0.9883 0.9771
