workload ideal start_m
CF	0.9975		1.0014
BC	0.9861		0.9828
PR-Delta	0.9919		0.98
BFSCC	0.99		0.9812
BFS	0.9923		0.9817
Radii	0.9763		0.9624
Triangle	0.9853		0.9683
Components	0.9534		0.9362
Comp-SC	0.9557		0.9379
PageRank	0.95		0.9371
BFS-BV	0.9834		0.9723
BellmanFord	0.998		0.9816
MIS	0.9986		0.996
0.0	0.0		0.0
fotonik3d	0.9943		0.9836
mcf	0.9888		0.9126
gcc	0.9963		0.9961
omnetpp	0.9972		0.9872
bwaves	0.9829		0.9827
roms	0.9976		0.995
cactuBSSN	0.9776		0.9776
wrf	0.9901		0.9824
pop2	0.9953		0.9791
xalancbmk	0.9986		0.9964
0.0	0.0		0.0
canneal	0.9954		0.9865
fluida	0.9989		0.9992
raytrace	0.9973		0.9948
facesim	0.9914		0.984
streamc	0.9757		0.9749
0.0	0.0		0.0
LIGRA	0.9813		0.9704
SPEC	0.9918		0.979
PARSEC	0.9917		0.9878
ALL	0.9869		0.9766
